alias,corp_name,kind,note
하나금융,하나금융지주,접두약칭,법인 접미 '지주'를 뗀 통용 표기
우리금융,우리금융지주,접두약칭,법인 접미 '지주'를 뗀 통용 표기
메리츠금융,메리츠금융지주,접두약칭,법인 접미 '지주'를 뗀 통용 표기
세아베스틸,세아베스틸지주,접두약칭,법인 접미 '지주'를 뗀 통용 표기
신한금융지주,신한지주,구법인명,2001~2009 법인명 '신한금융지주회사'
신한금융,신한지주,통용약칭,영문명 SHINHAN FINANCIAL GROUP의 통용 표기
미래에셋,미래에셋증권,접두약칭,사업 접미 '증권'을 뗀 통용 표기
삼성바이오,삼성바이오로직스,접두약칭,업계 통용 약칭
한화에어로,한화에어로스페이스,접두약칭,업계 통용 약칭
에코프로,에코프로비엠,접두약칭,코퍼스 70사 중 '에코프로' 계열은 에코프로비엠뿐
레인보우,레인보우로보틱스,접두약칭,업계 통용 약칭
두산로보,두산로보틱스,접두약칭,업계 통용 약칭
기아자동차,기아,구법인명,2021-03 사명 변경 이전 법인명
두산중공업,두산에너빌리티,구법인명,2022-03 사명 변경 이전 법인명
포스코,POSCO홀딩스,통용약칭,코퍼스 70사 중 유일한 POSCO 계열. 별도법인 (주)포스코는 비상장이라 코퍼스에 없다
하이닉스,SK하이닉스,통용약칭,후위 약칭. 코퍼스에 다른 하이닉스는 없다
LG엔솔,LG에너지솔루션,통용약칭,구어 약칭
KAI,한국항공우주,통용약칭,영문명 KOREA AEROSPACE INDUSTRIES의 회사 자체 약칭
SM엔터테인먼트,에스엠,통용약칭,영문명 SM ENTERTAINMENT의 통용 표기 (법인명은 에스엠)
제이와이피,JYP Ent,음차,로마자 JYP의 한글 음차
